Model,Compactness_Cosine,Separation_Cosine,Silhouette_Cosine,Avg_Levenshtein
LDA,0.1412000390193088,0.8424410714113473,0.7320232976363968,22.771428571428572
LSA,0.09712410852558305,0.4144528547487529,0.2884057324341026,21.047619047619047
KMeans,-0.007179706357419491,-0.07076399028301239,0.3223414421081543,21.676190476190477
HAC,-0.04216875326295279,0.9285714285714286,0.9995814148179154,20.914285714285715
